Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
CLOSE,0,0,0,0,0,0,0,0.001,0.002,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
CONEYTHORPE,0,0,0,0,0,0,0,0.07,0.115,0.144,0.165,0.211,0.185,0.169,0.158,0.146,0.137,0.13,0.124,0.117,0.111,0.106,0.109,0.111,0.119,0.115,0.11,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
CONSETT,20.712,20.712,20.714,20.714,20.713,20.713,20.713,20.821,20.89,20.935,20.967,21.038,20.999,20.974,20.956,20.939,20.925,20.913,20.903,20.893,20.884,20.876,20.88,20.883,20.896,20.89,20.881,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
CORPORATION STREET,0,0,0,0,0,0,0,0.001,0.002,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
CRAMLINGTON T1 T3,0,0,0,0,0,0,0,0.091,0.15,0.188,0.215,0.275,0.242,0.221,0.206,0.191,0.179,0.169,0.161,0.153,0.145,0.139,0.142,0.145,0.155,0.15,0.143,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
CRAMLINGTON T2 T4,0,0,0,0,0,0,0,0.09,0.149,0.186,0.213,0.273,0.24,0.22,0.205,0.19,0.178,0.168,0.16,0.151,0.144,0.138,0.141,0.144,0.154,0.149,0.142,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
DARLEY,0,0,0,0,0,0,0,0.028,0.047,0.059,0.067,0.086,0.075,0.069,0.064,0.06,0.056,0.053,0.05,0.048,0.045,0.043,0.044,0.045,0.048,0.047,0.045,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
DARLINGTON 132/6KV,0,0,0,0,0,0,0,0.012,0.02,0.025,0.028,0.036,0.032,0.029,0.027,0.025,0.024,0.022,0.021,0.02,0.019,0.018,0.019,0.019,0.02,0.02,0.019,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
DARLINGTON 33/11KV,0,0,0,0,0,0,0,0.02,0.033,0.042,0.048,0.061,0.054,0.049,0.046,0.042,0.04,0.038,0.036,0.034,0.032,0.031,0.032,0.032,0.035,0.033,0.032,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
DARLINGTON CENTRAL 33/11KV,0,0,0,0,0,0,0,0.009,0.015,0.018,0.021,0.027,0.024,0.022,0.02,0.019,0.018,0.017,0.016,0.015,0.014,0.014,0.014,0.014,0.015,0.015,0.014,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
DARLINGTON EAST,0,0,0.001,0.001,0.001,0,0,0.016,0.026,0.032,0.037,0.047,0.042,0.038,0.035,0.033,0.031,0.029,0.028,0.026,0.025,0.024,0.024,0.025,0.027,0.026,0.025,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
DARLINGTON WEST,0.475,0.475,0.476,0.476,0.476,0.476,0.476,0.505,0.524,0.536,0.544,0.564,0.553,0.546,0.542,0.537,0.533,0.53,0.527,0.524,0.522,0.52,0.521,0.522,0.525,0.524,0.521,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
DENWICK,0,0,0.001,0.001,0,0,0,0.284,0.467,0.586,0.67,0.858,0.755,0.69,0.643,0.596,0.559,0.528,0.503,0.475,0.453,0.433,0.443,0.451,0.484,0.468,0.446,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
DUNSTON 66/11KV,0,0,0,0,0,0,0,0.005,0.008,0.01,0.012,0.015,0.013,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
DUNSTON 66/20KV,0,0,0,0,0,0,0,0.009,0.015,0.019,0.022,0.028,0.025,0.023,0.021,0.02,0.018,0.017,0.017,0.016,0.015,0.014,0.015,0.015,0.016,0.015,0.015,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
DURHAM EAST,0,0,0,0,0,0,0,0.022,0.036,0.045,0.051,0.066,0.058,0.053,0.049,0.046,0.043,0.04,0.039,0.036,0.035,0.033,0.034,0.035,0.037,0.036,0.034,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
EASTFIELD,0,0,0.002,0.001,0.001,0.001,0.001,0.099,0.163,0.204,0.233,0.299,0.263,0.24,0.224,0.207,0.195,0.184,0.175,0.166,0.158,0.151,0.154,0.157,0.169,0.163,0.155,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
EASTGATE CEMENT,0,0,0,0,0,0,0,0.016,0.026,0.033,0.038,0.048,0.042,0.039,0.036,0.033,0.031,0.03,0.028,0.027,0.025,0.024,0.025,0.025,0.027,0.026,0.025,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
EDUCATIONAL PRECINCT,0,0,0,0,0,0,0,0.002,0.004,0.005,0.005,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
ELVINGTON,0.05,0.05,0.051,0.051,0.05,0.05,0.05,0.063,0.071,0.076,0.08,0.088,0.083,0.081,0.079,0.076,0.075,0.073,0.072,0.071,0.07,0.069,0.07,0.07,0.071,0.071,0.07,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
FARADAY STREET,0,0,0,0,0,0,0,0.004,0.007,0.009,0.01,0.013,0.012,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
FAWDON T1 & SEATON BURN T1,0,0,0.001,0.001,0,0,0,0.065,0.107,0.133,0.153,0.195,0.172,0.157,0.146,0.136,0.127,0.12,0.115,0.108,0.103,0.099,0.101,0.103,0.11,0.107,0.102,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
FISHBURN,25.066,25.066,25.069,25.068,25.068,25.068,25.067,25.15,25.204,25.239,25.263,25.318,25.288,25.269,25.255,25.241,25.23,25.221,25.214,25.206,25.199,25.193,25.196,25.199,25.208,25.204,25.197,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
FLATWORTH CENTRAL,0,0,0,0,0,0,0,0.002,0.003,0.004,0.005,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
FOSS ISLANDS,0,0,0,0,0,0,0,0.02,0.034,0.042,0.048,0.062,0.054,0.05,0.046,0.043,0.04,0.038,0.036,0.034,0.033,0.031,0.032,0.033,0.035,0.034,0.032,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
FOSSWAY 33/11KV,0,0,0,0,0,0,0,0.005,0.009,0.011,0.012,0.016,0.014,0.013,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.009,0.009,0.008,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
FOURSTONES 20KV,36.038,36.038,36.041,36.041,36.04,36.04,36.039,36.233,36.359,36.44,36.498,36.626,36.555,36.511,36.478,36.446,36.421,36.4,36.383,36.364,36.348,36.334,36.341,36.347,36.37,36.358,36.343,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
FYLANDS BRIDGE,0,0,0.001,0.001,0,0,0,0.08,0.131,0.164,0.188,0.24,0.211,0.193,0.18,0.167,0.157,0.148,0.141,0.133,0.127,0.121,0.124,0.127,0.136,0.131,0.125,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
GALE LANE,3.328,3.328,3.329,3.328,3.328,3.328,3.328,3.348,3.361,3.37,3.375,3.389,3.381,3.377,3.374,3.37,3.368,3.365,3.364,3.362,3.36,3.359,3.359,3.36,3.362,3.361,3.36,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
GARWOOD STREET,0,0,0,0,0,0,0,0.004,0.006,0.008,0.009,0.012,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.007,0.006,0.006,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
GATESHEAD CENTRAL,0,0,0,0,0,0,0,0.004,0.006,0.007,0.008,0.011,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.006,0.006,0.006,0.006,0.006,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
GATESHEAD EAST,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
GOSFORTH 33/11KV,0,0,0,0,0,0,0,0.002,0.003,0.004,0.004,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
GRANGETOWN,0,0,0,0,0,0,0,0.025,0.041,0.051,0.058,0.075,0.066,0.06,0.056,0.052,0.049,0.046,0.044,0.041,0.039,0.038,0.039,0.039,0.042,0.041,0.039,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
GREATHAM,0,0,0,0,0,0,0,0.001,0.002,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
GUISBOROUGH T1 T2,0,0,0.004,0.003,0.002,0.002,0.001,0.084,0.138,0.172,0.197,0.252,0.222,0.202,0.189,0.175,0.164,0.155,0.148,0.14,0.133,0.127,0.13,0.133,0.142,0.137,0.131,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
GUISBOROUGH T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
HARLOW GREEN,0,0,0,0,0,0,0,0.011,0.018,0.023,0.026,0.033,0.029,0.027,0.025,0.023,0.022,0.021,0.02,0.018,0.018,0.017,0.017,0.018,0.019,0.018,0.017,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
HARMIRE BRIDGE,0,0,0.001,0.001,0.001,0.001,0,0.063,0.104,0.13,0.149,0.19,0.167,0.153,0.143,0.132,0.124,0.117,0.112,0.106,0.1,0.096,0.098,0.1,0.107,0.104,0.099,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
HARRATON,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.099,0.102,0.103,0.104,0.107,0.105,0.105,0.104,0.103,0.103,0.102,0.102,0.102,0.101,0.101,0.101,0.101,0.102,0.102,0.101,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
HARROGATE 132/11KV,0.05,0.05,0.051,0.051,0.05,0.05,0.05,0.237,0.358,0.436,0.492,0.616,0.547,0.505,0.474,0.443,0.419,0.398,0.382,0.363,0.348,0.335,0.342,0.348,0.369,0.358,0.344,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
HARROGATE WEST,0,0,0,0,0,0,0,0.049,0.081,0.101,0.116,0.148,0.13,0.119,0.111,0.103,0.096,0.091,0.087,0.082,0.078,0.075,0.076,0.078,0.084,0.081,0.077,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
